,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
0,1,0,,939.565,8.07132,0.0,0.782347,939.565
1,1,1,,938.272,7.28897,0.0,0.0,938.272
2,2,1,,1875.61,13.1357,2.22457,0.0,1875.61
3,3,1,,2808.92,14.9498,8.4818,0.018591,2808.92
4,3,2,,2808.39,14.9312,7.71804,-13.736,2808.39
5,3,3,,2821.62,28.667,-6.80009,0.0,2821.62
6,4,1,,3750.09,24.6211,6.8818,22.1962,3750.09
7,4,2,,3727.38,2.42492,28.2957,-22.8983,3727.38
8,4,3,,3749.77,25.3232,4.61504,0.0,3749.77
9,5,1,,4689.85,32.8924,6.6818,21.6612,4689.85
10,5,2,,4667.68,11.2312,27.5607,-0.447653,4667.68
11,5,3,,4667.62,11.6789,26.3307,-25.46,4667.62
12,5,4,,4692.57,37.139,0.0881995,0.0,4692.57
13,6,1,,5630.33,41.8757,5.76984,24.2836,5630.33
14,6,2,,5605.53,17.5921,29.2711,3.50522,5605.53
15,6,3,,5601.52,14.0869,31.994,-4.28815,5601.52
16,6,4,,5605.3,18.375,26.9235,-28.945,5605.3
17,6,5,,5633.73,47.32,-2.80383,0.0,5633.73
18,7,1,,6569.08,49.135,6.58187,23.062,6569.08
19,7,2,,6545.51,26.0731,28.8614,11.166,6545.51
20,7,3,,6533.83,14.9071,39.2451,-0.861893,6533.83
21,7,4,,6534.18,15.769,37.6008,-11.9076,6534.18
22,7,5,,6545.58,27.6765,24.9109,0.0,6545.58
23,8,2,,7482.54,31.6097,31.3962,10.6639,7482.54
24,8,3,,7471.37,20.9458,41.2777,16.0041,7471.37
25,8,4,,7454.85,4.94167,56.4995,-17.9799,7454.85
26,8,5,,7472.32,22.9216,37.7372,-12.1427,7472.32
27,8,6,,7483.95,35.0643,24.8122,0.0,7483.95
28,9,2,,8423.36,40.9359,30.1413,15.981,8423.36
29,9,3,,8406.87,24.9549,45.3399,13.6065,8406.87
30,9,4,,8392.75,11.3485,58.164,-1.06804,8392.75
31,9,5,,8393.31,12.4165,56.3136,-16.4945,8393.31
32,9,6,,8409.29,28.911,39.0368,0.0,8409.29
33,10,2,,9363.09,49.1723,29.9762,16.1197,9363.09
34,10,3,,9346.46,33.0526,45.3135,20.4451,9346.46
35,10,4,,9325.5,12.6075,64.9763,0.556797,9325.5
36,10,5,,9324.44,12.0507,64.7507,-3.64806,9324.44
37,10,6,,9327.57,15.6988,60.3203,-23.1014,9327.57
